"Date","Birth cohort","Lower 95% CrI","Posterior median","Upper 95% CrI","Precision","Coefficient of variation"
1982.5,"(1968,1978]",0,0.0228310502283105,0.091324200913242,1548.23012588468,0.025414539394576
1982.5,"[-1968]",0,0.0151057401812689,0.0680135951661631,3034.49154730204,0.0181533605730622
1982.75,"(1978,1988]",0,0.142857142857143,0.380952380952381,88.87672444154,0.106073275491924
1982.75,"(1968,1978]",0,0.0365296803652968,0.132420091324201,735.849423457612,0.0368642602186031
1982.75,"[-1968]",0,0.027190332326284,0.101208459214502,1384.97871956611,0.0268706671788327
1983,"(1978,1988]",0,0.136363636363636,0.409090909090909,78.4952867588758,0.112869918075123
1983,"(1968,1978]",0,0.045662100456621,0.150684931506849,548.110094754798,0.0427135924603603
1983,"[-1968]",0.00151057401812689,0.0332326283987915,0.111858006042296,1032.29869966664,0.0311241363954853
1983.25,"(1978,1988]",0,0.147058823529412,0.441176470588235,76.7836611020138,0.114121006190275
1983.25,"(1968,1978]",0,0.0547945205479452,0.178082191780822,442.791423322036,0.0475226226156327
1983.25,"[-1968]",0.00151057401812689,0.0362537764350453,0.134441087613293,818.400259761087,0.0349556289509362
1983.5,"(1978,1988]",0.0140845070422535,0.197183098591549,0.47887323943662,62.9010536886597,0.126087211375281
1983.5,"(1968,1978]",0.0045662100456621,0.0776255707762557,0.228310502283105,265.578928584868,0.061362520859823
1983.5,"[-1968]",0.0044939577039275,0.0558912386706949,0.172243202416918,522.351492176508,0.043754082380833
1983.75,"(1978,1988]",0,0.173333333333333,0.466666666666667,64.1474141852714,0.1248562890492
1983.75,"(1968,1978]",0.0045662100456621,0.0821917808219178,0.255821917808219,211.591690205394,0.0687465164191615
1983.75,"[-1968]",0.00302114803625378,0.0574018126888218,0.188859516616314,404.792771797236,0.0497031170376501
1984,"(1978,1988]",0,0.0769230769230769,0.384615384615385,82.8569165194399,0.109858993649428
1984,"(1968,1978]",0,0.0410958904109589,0.21472602739726,288.54255205752,0.0588701396009058
1984,"[-1968]",0,0.027190332326284,0.151057401812689,580.259931958193,0.0415134386676524
1984.25,"(1978,1988]",0,0.0506329113924051,0.30379746835443,141.852281541544,0.0839618187087257
1984.25,"(1968,1978]",0,0.0273972602739726,0.168949771689498,505.759011626959,0.0444660124357554
1984.25,"[-1968]",0,0.0181268882175227,0.117824773413897,1001.99539564223,0.0315912737640078
1984.5,"(1978,1988]",0,0.05,0.3125,129.098771403161,0.0880114032432776
1984.5,"(1968,1978]",0,0.0273972602739726,0.164383561643836,371.924866068384,0.0518528214342047
1984.5,"[-1968]",0,0.0181268882175227,0.107250755287009,749.530811522536,0.0365262640892411
1984.75,"(1978,1988]",0,0.0952380952380952,0.785714285714286,17.0033844771172,0.242511485809066
1984.75,"(1968,1978]",0,0.0502283105022831,0.675799086757991,21.9411285869178,0.213486549860423
